,,,Plant species,Antirhea borbonica,Aphloia theiformis,Ardisia crenate,Badula insularis,Badula platiphylla,Bertiera zaluzania,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Claoxylon linostachys ssp brachyphyllum,Clidemia hirta,Coffea macrocarpa,Coffea mauritiana,Cordemoya integrifolia,Croton fothergillifolius,Croton grangeroides,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum var diphyllum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia chapelieri var chapelieri,Euodia obtusifolia ssp gigas var gigas,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Grangeria borbonica,Harungana madagascariensis,Helichrysum proteoides,Homalanthus populifolius,Labourdonnaisia callophylloides,Molinaea alternifolia,Molinaea macrantha,Myonima violacea var ovata,Ochna mauritiana,Olea lancea,Ossaea marginata,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Psathura terniflora,Psiadia terebinthina,Psidium cattleianum,Rubus alcefolius,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium petrinese,Tabernaemontana persicarifolia,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Wikstroemia indica,Xylopia lamarckii ,
Lecithoceridae sp 1,Gelechiidae,4,0.663333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptotes pirithous Linnaeus,Lycaenidae,2,1.487619048,0,0,0,0,0,0,0,0,0,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0
Limnophora quaterna Loew,Muscidae,3,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lygaeidae sp 2,Lygaeidae,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lygaeidae sp 3,Lygaeidae,4,0.133333333,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lygaeidae sp 5,Lygaeidae,4,2.157142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.157142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lygistorrhina sp,Mycetophilidae,2,8.964365079,0,0,0,0,0,0,0,0,0,0,0.106666667,0,0,0,0.125,1.130952381,0,0,0.04,0,0,0,0,2.822222222,0,0,0,1.885714286,0,0,0,0,0,0,0,0,0.4,0,0.057142857,0,0,0,0,0,0,0.433333333,0,0,0,0.63,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0
Macroglossum milvus Boisduval,Macroglossidae,2,0.452380952,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritiborium undulatus,Cerambycidae,1,2.773938224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.081081081,0,0,0,0,0,0,0,0,0,0,0.242857143,0,0,0,0,0,1.4,0,0,0,0,0,0.25,0,0,0,0,0,0
Melanagromyza sojae Zehntner,Agromyzidae,3,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanostoma annulipes Macquart,Syrphidae,2,6.051893183,0,0,2.472161172,0,0,0,0,0,0,0,0,0,0,0,0,0.152631579,0,0,0.086956522,0,0.016666667,0,0,1.066666667,0,0,0,0,0,0,0,0,0,0,0.727027027,0,0,0,0,0.166666667,0,0,0,0,0,0.428571429,0,0,0.410909091,0,0,0,0,0,0,0,0,0.523636364,0,0,0,0,0,0
Melanostoma bituberculatum Loew,Syrphidae,3,2.253809524,0,0,0.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266666667,0,0,0,0,0.057142857,0,0,0,0,0,0,0,0,0,0,0.266666667,0,0,0,0,0,0.08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Miridae sp 1,Miridae,4,0.031746032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031746032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mordellidae sp 1,Mordellidae,4,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mordellidae sp 2,Mordellidae,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mordellidae sp 3,Mordellidae,4,0.076923077,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Musca confiscata Speiser,Muscidae,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
Musca domestica Linnaeus,Muscidae,3,27.27967096,0,0,2.753957972,0,0,0,0.153846154,0,0,0,0,0,0,0,0,0.392442645,0.677339901,0,0.226666667,0,0,0.081818182,0,1.2,0,0,0,0,0,0.666666667,0,0.166666667,0,0.273809524,1.238095238,0,0.386666667,0,0,0.166666667,0,0,0.25,0,0,0.08,0,0,0.77,0.3,0,16.13333333,0,0.833333333,0,0.528361345,0,0,0,0,0,0,0,0
Nacoleia sp 1,Crambidae,4,11.19741595,0,0.866955267,0,0,0,0,0,0,0,0,0,0,0.520833333,0.222222222,0,0.797712418,0.034482759,0,0,0,0.066666667,0,0,0.333333333,0,0,0,0.066666667,0,4.213347763,0,0.171428571,0,0,0.027027027,0,0,0,0,0.444444444,0,0,0,0,0,1.3,0,0,0.033333333,0.05,0,0.666666667,0,0.191666667,0,0,0.825549451,0.222222222,0,0,0,0.142857143,0,0
Nacoleia sp 2,Crambidae,4,1.352928444,0,0.432900433,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619047619,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitidulidae sp 1,Nitidulidae,4,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyctemera insulare Boisduval,Arctiidae,2,0.0625,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophyra capensis Wiedemann,Muscidae,3,13.18571429,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.062857143,0,0,0,0,0,0.2,0,0,0.333333333,0,0,0.28,0,0,10,0,0,0,0.142857143,0,0,0,0,0,0,0,0
Orchisia costata Meigen,Muscidae,2,0.373333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornidia obesa Fabricius,Syrphidae,3,1.398012266,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.285714286,0,0,0,0.222222222,0,0,0,0.02,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0
Orthellia albigena Stein,Muscidae,2,1.681052632,0,0,0.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465263158,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0
Pachycerina crinicornis Thomson,Lauxaniidae,1,37.12014421,0.2,0.333333333,0.574603175,0,0,0,0.166666667,0,0,0.125,0,0,0,0,0,0.933333333,0,0,0.357723577,0,0.033333333,0,0,0.285714286,0,0,0,0.866666667,0,0,0,0,0,0.145833333,1.533333333,0.125,0,0,0.025,0.191666667,0,0,0,0,0,0.826190476,0.4,0,0.20952381,0.025,0,28.5,0,0,0,0,0,1.262222222,0,0,0,0,0,0
Palexorista sp 1,Tachinidae,2,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panara naso Fabricius,Hesperiidae,2,3.650963334,0,0,0.766666667,0,0,0,0,0,0,1.857417582,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.2,0.166666667,0,0,0.0625,0,0,0,0,0.2,0.025,0,0,0,0,0,0.1,0,0,0,0.088888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paragus borbonicus Macquart,Syrphidae,3,2.807423863,0,0,0.105263158,0,0,0,0,0,0,0,0.177777778,0,0,0,0,0,0.105263158,0,0,0,0,0.081818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0.166666667,0,0,0,0,1,0.142857143,0,0,0.916666667,0,0,0,0,0,0,0,0,0,0,0,0
Pelecophora intemipta All,Melyridae,4,0.773333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.173333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
Phalanta phalantha Drury,Nymphalidae,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pheidole megacephala Fabricius,Formicidae,3,0.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phelsuma cepediana Merrem,Gekkonidae,1,0.872222222,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.222222222,0,0,0,0,0,0,0,0
Phorinia sp,Tachinidae,2,1.819444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.025,0,0,1.433333333,0,0.111111111,0,0,0,0,0,0,0,0,0,0
Polistes hebraeus Fabricius,Vesperidae,3,4.541350822,0,0,0.206666667,0,0,0,0.133333333,0,0,0.320512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422222222,0,0,0,0.1875,0,0,1.231036415,0,0.3,0.551190476,0,0,0,0,0,0,0.222222222,0.583333333,0.066666667,0.066666667,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0
Psyllidae sp 2,Psyllidae,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapromyza sp. near nudiuscula Lamb.,Lauxaniidae,4,0.69038961,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0
Sarcophaga arno Curran ,Sarcophagidae,3,2.077885154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0.04,0,0,1,0,0,0,0.117647059,0,0,0,0.666666667,0,0,0,0
Scatopsidae sp,Scatopsidae,4,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scirtidae sp 1,Scirtidae,4,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scirtidae sp 2,Scirtidae,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scolia carniflex Coquillett,Scoliidae,3,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scopariinae sp,Crambidae,4,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simulium (Byssodon) sp 2,Simuliidae,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
Siphona sp,Tachinidae,4,0.0625,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stomorhina lunata Fabricius,Calliphoridae,3,24.51533634,0,0.111111111,3.27956044,0,0,0.133333333,1.032051282,0.416666667,0,0.142857143,0,0,0,0,0,0.843715435,0.028571429,0,0.221461187,0.625,0.166666667,0.072727273,0,1.359126984,0,0,0,0.866666667,0,0.1,0,0.433333333,0,0.0625,0.869176319,0,1.434798535,0,0.32,0.861413043,0.074074074,0,0,0,0,3.312214583,0.722222222,0,1.424502165,0.656666667,0,3.833333333,0,0.066666667,0,0.117647059,0,0.927272727,0,0,0,0,0,0
Stomoxys calcitrans Linnaeus,Muscidae,3,4.092958153,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0.383333333,0.028571429,0,0.08,0,0,0,0,1.095238095,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.848484848,0,0,0.625108225,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stomoxys niger Macquart,Muscidae,3,2.662567783,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.016666667,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0,0.238095238,0,0,0,0,0,0,0,0,0,0,0.928571429,0,0,0.43923445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syritta bulbus Walker ,Syrphidae,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syritta nigrofemorata Macquart,Syrphidae,2,4.043727106,0,0.142857143,0,0,0,0,0.153846154,0,0,0,0,0,0,0,0,0.226190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0.066666667,0,0,0.133333333,0,0,0,0,0,0.233333333,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0
Syritta sp. (near abyssinica Rondani),Syrphidae,3,1.797036871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177339901,0,0,0,0,0.036363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.583333333,0,0,0,0,0,0,0,0,0,0,0,0
Technomyrmex albipes Smith,Formicidae,3,54.79051443,2.8,0,5.236032389,0,0.8,0,5.888461538,0,0,0,0,0,0.153846154,0,0.5,3.504761905,0,0,0.024390244,0,0,0,0,1,0,0,0,0,0,0,0,0.133333333,0.75,0,2,0,0.333333333,5.865079365,1.622222222,0,0,0,2.364516129,0,0,0.058823529,0,1.5,0,0,0,13.2,0.485714286,0.32,0,0,0.5,2.083333333,0,0,3.666666667,0,0,0
Thelairodrino sp,Tachinidae,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thysanoplusia orichalcea Fabricius,Noctuidae,2,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villa unifasciata Macquart,Bombyliidae,2,22.74598052,0.2,0.215555556,0.916666667,0,0,0.153846154,0,0,0.117647059,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.125,1,0,0,0,0,0.522222222,0,0,0,0,0.090909091,0,0,0,0,0,0.581818182,0,0,0,9,0.863492063,3.2,0,0,0,0,2.1,0,0.058823529,0,0,0,0,3,0,0,0,0,0
Zosterops mauritianus Gmelin,Zosteropidae,1,0.365909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115909091,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0