width,noise,instance_number,greedy_mean,greedy_stdev,pagerank_value,regret_value,optimal_value
100,0,0,41.46,0.935882,42.3158,48.4085,48.4085
100,0,1,37.64,1.00565,37.2178,44.3979,44.3979
100,0,2,34.59,0.971573,35.1697,42.1351,42.1351
100,0,3,42.72,0.890968,43.8519,49.5269,49.5269
100,0,4,37.59,0.872486,37.7144,45.6665,45.6665
100,0,5,40.55,0.845004,42.1427,47.7213,47.7213
100,0,6,38.71,0.951476,39.0661,46.5408,46.5408
100,0,7,43.59,0.904905,43.2099,50.7962,50.7962
100,0,8,39.32,0.769576,38.5372,45.2438,45.2438
100,0,9,40.05,0.943326,41.4444,48.0557,48.0557
100,0,10,39.89,0.752928,41.1029,46.1029,46.1029
100,0,11,38.58,0.887178,37.5241,45.2139,45.2139
100,0,12,43.2,0.996495,43.518,51.4372,51.4372
100,0,13,39.47,0.914612,40.096,45.789,45.789
100,0,14,42.33,0.860928,41.6027,49.7613,49.7613
100,0,15,41.94,0.957276,41.8469,45.5343,45.5343
100,0,16,40.73,1.02321,41.2723,46.1162,46.1162
100,0,17,41.14,0.876651,40.3843,47.72,47.72
100,0,18,42.26,0.786881,43.2026,49.6327,49.6327
100,0,19,44.42,0.902198,44.3917,50.8107,50.8107
100,0,20,37.91,0.837496,37.3207,43.8902,43.8902
100,0,21,42.8,0.846222,44.4723,50.1349,50.1349
100,0,22,41.5,0.883893,41.5328,48.8602,48.8602
100,0,23,41.53,1.15243,42.1632,49.2343,49.2343
100,0,24,43.76,0.853937,43.1935,51.5658,51.5658
100,0,25,41.33,0.899036,40.9201,49.2294,49.2294
100,0,26,43.52,0.871568,44.5725,47.4529,47.4529
100,0,27,41.38,0.851413,41.7351,46.1791,46.1791
100,0,28,36.84,0.962039,37.5807,44.4113,44.4113
100,0,29,43.76,0.886786,44.0202,51.0674,51.0674
100,0,30,44.9,0.801041,45.6573,52.1248,52.1248
100,0,31,40,0.932963,40.6753,46.8355,46.8355
100,0,32,42.49,0.899626,43.7039,46.8247,46.8247
100,0,33,42.51,0.966342,41.5558,50.4719,50.4719
100,0,34,42.6,0.879625,42.7848,49.1916,49.1916
100,0,35,43.21,0.892815,42.958,50.4184,50.4184
100,0,36,39.54,0.907694,39.4565,47.0677,47.0677
100,0,37,43.52,1.01921,45.1073,49.687,49.687
100,0,38,42,0.947304,43.1433,49.5807,49.5807
100,0,39,42.88,0.764724,43.1172,48.2618,48.2618
100,0,40,39.68,0.829828,40.066,46.2042,46.2042
100,0,41,42.82,0.86541,43.7133,49.2192,49.2192
100,0,42,40.49,0.984045,41.2562,47.3649,47.3649
100,0,43,44.78,0.91217,46.0724,51.9955,51.9955
100,0,44,41.34,0.918626,40.8493,49.0936,49.0936
100,0,45,42.34,0.804614,42.9507,50.3738,50.3738
100,0,46,40.7,1.01235,40.5312,46.9134,46.9134
100,0,47,40.09,0.89022,39.6586,46.9766,46.9766
100,0,48,41.18,0.918629,41.2306,44.5971,44.5971
100,0,49,40.16,1.0889,40.7513,46.86,46.86
100,0.1,0,34.92,0.985943,36.4628,42.1558,44.4473
100,0.1,1,34.69,0.928007,34.7442,42.3581,44.8744
100,0.1,2,36.69,1.03732,36.4898,44.2604,46.7315
100,0.1,3,37.73,1.00939,37.7062,45.9379,47.7751
100,0.1,4,34.38,1.18799,32.9766,42.1872,44.621
100,0.1,5,37.33,0.869111,37.8012,44.9688,47.2912
100,0.1,6,34.4,1.11191,36.3272,41.4735,43.5052
100,0.1,7,37.26,0.877596,36.8548,44.8941,46.8134
100,0.1,8,37.94,0.941953,38.269,45.4012,47.912
100,0.1,9,35.9,1.08587,36.9284,43.6663,45.9691
100,0.1,10,37.14,1.00858,37.5584,43.3827,45.7356
100,0.1,11,36.16,1.05852,35.4355,43.4205,46.157
100,0.1,12,35.88,1.00523,35.894,42.0015,43.7997
100,0.1,13,36.41,1.10836,38.7208,44.3427,47.2435
100,0.1,14,38.28,1.00744,41.1119,45.5104,47.9969
100,0.1,15,34.83,0.958427,34.3834,40.6964,43.38
100,0.1,16,37.75,1.00816,38.0738,45.1529,47.6225
100,0.1,17,37.79,0.988332,39.4783,45.0281,46.4368
100,0.1,18,39.47,0.997809,39.6182,47.0126,49.2779
100,0.1,19,38.13,0.996058,38.7573,44.7045,48.2458
100,0.1,20,38.11,1.14249,36.8122,45.8804,47.2639
100,0.1,21,33.72,1.17679,33.851,41.4873,43.3092
100,0.1,22,36.65,0.966556,36.3261,43.6992,46.6349
100,0.1,23,35.35,1.08694,35.329,43.2272,46.4977
100,0.1,24,36.73,0.95679,36.8711,43.2889,44.0372
100,0.1,25,34.62,1.0144,34.4367,43.6856,45.6614
100,0.1,26,40.04,1.0702,40.2795,46.8243,49.6515
100,0.1,27,38.07,1.11504,39.0261,45.5674,48.1694
100,0.1,28,36.14,0.900767,35.9926,43.0244,45.671
100,0.1,29,37.22,1.05655,38.1131,45.4031,47.0792
100,0.1,30,39.07,1.10746,37.9459,45.7316,47.1523
100,0.1,31,36.92,0.978765,38.4481,44.8453,46.8773
100,0.1,32,37.54,0.939487,38.7917,43.7721,47.2489
100,0.1,33,36.39,1.03141,36.5268,42.9442,45.3362
100,0.1,34,37.9,0.975744,38.0938,45.6711,47.5393
100,0.1,35,41.05,0.96959,41.8449,47.9973,50.381
100,0.1,36,38.55,1.13606,37.9183,45.7246,48.453
100,0.1,37,39.73,0.850617,39.5567,45.4457,47.3588
100,0.1,38,35.5,1.16625,35.1039,43.1167,44.7883
100,0.1,39,36.03,1.05081,37.4164,43.7737,45.9596
100,0.1,40,37.92,0.980555,39.2167,44.8989,47.276
100,0.1,41,40.02,1.02982,40.8194,47.1254,49.6855
100,0.1,42,39.23,1.00035,40.1167,45.6586,48.1741
100,0.1,43,35.46,1.08996,35.7851,42.5049,44.0059
100,0.1,44,34.65,1.09029,35.3845,42.3042,44.7876
100,0.1,45,37.05,1.04037,37.5364,44.8634,47.3142
100,0.1,46,40.26,1.01591,39.6609,46.2565,48.9378
100,0.1,47,33.36,1.16447,33.161,41.5426,43.0861
100,0.1,48,36.64,1.09938,35.8284,43.637,46.2643
100,0.1,49,37.99,0.956429,39.4453,45.1828,47.7953
100,0.2,0,37.98,0.845331,37.4546,43.593,46.2554
100,0.2,1,39.71,0.843097,40.4366,45.957,48.2782
100,0.2,2,35.46,0.874027,36.958,41.2051,43.8564
100,0.2,3,38.88,0.880223,37.6075,44.8635,47.749
100,0.2,4,36.5,0.958963,37.6731,43.3068,45.8118
100,0.2,5,39.43,0.93185,39.2385,46.3121,49.0877
100,0.2,6,38.03,1.03427,37.4265,44.5854,47.3481
100,0.2,7,37.63,0.891768,39.9514,43.2136,45.2335
100,0.2,8,38.8,0.803979,38.8879,43.2858,45.8724
100,0.2,9,37.6,1.0412,39.3103,43.8331,46.5333
100,0.2,10,37.49,0.873128,37.5623,43.3715,45.8049
100,0.2,11,36.97,0.959065,37.7578,44.1746,46.1107
100,0.2,12,39,0.959847,40.0737,44.415,48.2089
100,0.2,13,38.05,0.961933,39.1076,44.3873,47.2686
100,0.2,14,36.42,0.969259,36.4621,41.9636,44.7063
100,0.2,15,34.65,0.872428,33.1114,40.2064,42.8277
100,0.2,16,34.84,0.992096,33.9071,40.0831,42.66
100,0.2,17,36.45,0.870425,36.2426,42.427,44.6286
100,0.2,18,36.22,0.907589,36.1553,42.1761,44.4843
100,0.2,19,41.02,0.861689,42.3798,46.7062,49.4326
100,0.2,20,37.68,0.939275,36.9283,43.5382,45.6097
100,0.2,21,38.7,0.863008,38.5948,44.8758,47.2234
100,0.2,22,37.27,1.03888,35.1969,44.8831,46.6898
100,0.2,23,35.77,0.959859,36.3979,42.3621,44.9223
100,0.2,24,37.61,1.02312,39.5652,43.0693,44.1338
100,0.2,25,38.4,0.942461,38.1703,44.2463,46.9373
100,0.2,26,38.64,0.847009,39.5494,45.3257,47.6104
100,0.2,27,38.64,0.958453,39.905,45.5327,47.2348
100,0.2,28,38.07,0.925602,38.1062,45.0166,47.4759
100,0.2,29,33.94,0.919999,34.7135,39.9173,42.9567
100,0.2,30,35.82,0.940437,37.8017,41.6881,43.6347
100,0.2,31,37.59,0.963878,36.6214,43.6571,45.9211
100,0.2,32,35.71,0.888608,36.723,42.6565,44.4274
100,0.2,33,36.92,1.00526,38.1666,43.4238,45.2722
100,0.2,34,36.68,1.04411,39.0532,42.4665,44.0949
100,0.2,35,36.53,0.942381,36.4033,43.0053,45.7611
100,0.2,36,38.79,0.950877,37.876,45.0858,47.6746
100,0.2,37,39.04,0.963228,39.1482,44.7631,47.4313
100,0.2,38,36.55,1.01587,36.6422,42.9453,45.6184
100,0.2,39,36.49,0.89284,36.7583,41.949,44.397
100,0.2,40,37.61,0.929155,37.6216,44.5198,46.2
100,0.2,41,36.99,0.903735,38.078,43.5426,46.4362
100,0.2,42,34.99,0.884126,35.26,41.2484,43.6027
100,0.2,43,34.77,0.968015,34.9762,41.3579,43.4249
100,0.2,44,34.36,1.07536,36.2534,40.5885,43.4626
100,0.2,45,39.33,0.924465,39.1134,46.0398,48.741
100,0.2,46,37.38,0.855554,38.1501,43.9116,46.4757
100,0.2,47,37.66,0.839381,37.0021,43.5915,46.2315
100,0.2,48,35.66,0.957624,36.5488,42.5125,44.8775
100,0.2,49,37.33,0.995095,38.0601,43.4949,45.8678
100,0.3,0,36.16,0.834761,37.3968,41.2908,43.1464
100,0.3,1,39.9,0.804474,39.6609,44.1286,47.0991
100,0.3,2,36.19,0.886689,37.9829,41.9598,44.3021
100,0.3,3,37.8,0.887889,39.1687,43.0506,45.5943
100,0.3,4,37.74,0.849919,38.5251,42.1412,44.6516
100,0.3,5,40.45,0.878996,41.2467,46.002,48.436
100,0.3,6,39.49,0.824258,40.532,45.0268,47.4089
100,0.3,7,38.62,0.799756,39.2507,43.0857,46.0342
100,0.3,8,38.08,0.837026,38.9815,43.2089,45.6459
100,0.3,9,36.26,0.844552,37.0687,41.8655,43.4351
100,0.3,10,34.13,0.846864,34.6253,38.6176,41.5048
100,0.3,11,38.12,0.86389,39.0104,43.8426,46.1991
100,0.3,12,38.11,0.827331,37.9862,43.3583,45.1622
100,0.3,13,38.75,0.848139,39.7351,43.8101,46.04
100,0.3,14,36.2,0.821232,36.7997,41.4295,43.7394
100,0.3,15,37.18,0.821074,37.5622,41.9909,44.3915
100,0.3,16,37.61,0.83042,39.1141,42.6776,44.9523
100,0.3,17,38.9,0.821823,39.6221,43.7291,46.1049
100,0.3,18,39.41,0.886728,38.5837,44.906,47.5224
100,0.3,19,34.24,0.902485,33.6597,39.2761,41.9383
100,0.3,20,38.18,0.815689,39.5498,43.5805,45.7757
100,0.3,21,38.32,0.826471,39.6546,42.9682,45.6039
100,0.3,22,38.25,0.832517,39.1145,43.721,46.3903
100,0.3,23,39.25,0.826519,40.2763,44.5772,47.2219
100,0.3,24,35.45,0.838091,36.3872,40.4448,42.9269
100,0.3,25,35.68,0.843516,37.8223,40.5931,43.8782
100,0.3,26,38.01,0.863739,38.6828,43.4758,45.9167
100,0.3,27,38.07,0.829251,37.7734,43.7663,45.6621
100,0.3,28,35.5,0.794799,34.7477,40.2159,42.3349
100,0.3,29,37.07,0.814689,38.4354,42.1098,44.3173
100,0.3,30,38.52,0.837285,39.3657,43.2864,46.3318
100,0.3,31,36.87,0.986869,36.5311,42.8383,45.5962
100,0.3,32,37.3,0.891133,37.997,41.3443,44.6784
100,0.3,33,38.74,0.852846,40.5996,44.0127,45.9148
100,0.3,34,36.97,0.865025,38.9541,42.9239,45.6457
100,0.3,35,36.71,0.888576,38.3671,41.5426,44.1225
100,0.3,36,36.5,0.805608,36.5917,41.9308,44.1579
100,0.3,37,37.62,0.824249,39.5901,43.1295,45.5734
100,0.3,38,35.33,0.776029,35.3344,40.6177,42.7588
100,0.3,39,37.2,0.802822,37.6918,42.085,45.091
100,0.3,40,37.26,0.812147,38.4614,42.4432,45.1053
100,0.3,41,37.16,0.816222,36.5881,42.6676,44.6283
100,0.3,42,36.48,0.853986,36.0994,42.9491,44.438
100,0.3,43,35.6,0.901135,36.7578,40.3651,43.156
100,0.3,44,36.91,0.880831,37.9019,42.6014,45.0468
100,0.3,45,37.11,0.911695,38.4094,41.9219,45.1598
100,0.3,46,37.16,0.849227,38.4759,42.4008,45.3388
100,0.3,47,37.54,0.816185,38.3821,42.5025,45.8957
100,0.3,48,38.94,0.903505,40.0482,43.7165,45.7867
100,0.3,49,39.4,0.785766,39.5908,44.1433,46.5683
100,0.4,0,40.28,0.708706,41.2486,43.9911,46.5308
100,0.4,1,37.87,0.785222,38.04,42.4342,44.3392
100,0.4,2,39.6,0.825682,39.3945,43.8879,46.3024
100,0.4,3,40.69,0.780952,41.1613,45.3756,47.5743
100,0.4,4,39.46,0.80999,39.5676,43.3769,46.3754
100,0.4,5,38.02,0.776176,38.2885,42.1639,44.4902
100,0.4,6,40.17,0.806762,41.0372,43.9852,46.1992
100,0.4,7,38.95,0.836136,38.3737,43.1689,45.8074
100,0.4,8,40.56,0.833714,40.0855,45.0829,47.5461
100,0.4,9,38.45,0.80138,39.5371,41.6019,45.0439
100,0.4,10,39.51,0.796231,39.3007,44.5241,46.3839
100,0.4,11,41.27,0.824781,41.8059,45.472,48.2716
100,0.4,12,38.33,0.835533,38.6009,42.8436,44.8841
100,0.4,13,37.86,0.816482,39.0035,42.6891,44.7096
100,0.4,14,37.18,0.801118,37.0512,41.4613,43.6521
100,0.4,15,40.54,0.724862,40.7273,44.4948,46.8337
100,0.4,16,38.2,0.854136,39.016,42.4139,44.5879
100,0.4,17,37.28,0.774124,37.8213,41.147,43.7972
100,0.4,18,41.85,0.807202,41.955,46.2131,48.4666
100,0.4,19,39.94,0.769943,39.8807,44.6938,46.7845
100,0.4,20,39,0.80532,39.6849,43.6841,45.7378
100,0.4,21,39.28,0.806074,39.0648,43.516,46.0671
100,0.4,22,40.9,0.729681,42.3291,44.5586,47.1933
100,0.4,23,39.6,0.848895,39.1664,43.6315,46.2568
100,0.4,24,39.36,0.779275,39.3291,43.6477,46.3579
100,0.4,25,38.67,0.739525,39.4126,43.2953,45.3135
100,0.4,26,40.08,0.765256,39.9932,44.1772,46.7611
100,0.4,27,37.86,0.7797,37.5937,42.6233,44.4593
100,0.4,28,38.13,0.846604,38.3741,43.0015,44.9927
100,0.4,29,41.31,0.765374,40.6697,45.5615,47.4864
100,0.4,30,41.25,0.78091,41.5848,45.3053,47.2234
100,0.4,31,38.77,0.827826,38.8823,43.8557,46.0091
100,0.4,32,37.28,0.795887,38.1009,42.2345,44.3472
100,0.4,33,38.49,0.870959,39.0219,43.5075,46.2062
100,0.4,34,40.01,0.755671,39.9797,44.1152,46.2118
100,0.4,35,39.7,0.753032,38.8368,43.1057,45.8217
100,0.4,36,37.36,0.845685,37.7678,41.0385,43.5924
100,0.4,37,39.92,0.767628,41.3747,44.0438,46.9806
100,0.4,38,38.6,0.798647,39.8468,43.6836,45.8893
100,0.4,39,39.53,0.801961,40.5655,43.8539,46.6865
100,0.4,40,39.52,0.811205,39.2335,43.843,46.4037
100,0.4,41,36.41,0.815529,37.6956,41.5351,43.3524
100,0.4,42,38.91,0.865186,40.3597,43.5421,45.8124
100,0.4,43,39.67,0.812302,39.8009,43.5441,46.9763
100,0.4,44,40.77,0.860266,40.778,45.6115,48.152
100,0.4,45,39.19,0.710783,38.5314,43.4898,46.2481
100,0.4,46,38.55,0.755262,40.0878,42.7806,45.3239
100,0.4,47,38.09,0.85003,39.3418,41.8865,44.4364
100,0.4,48,39.62,0.849933,40.2961,45.0644,46.2561
100,0.4,49,39.29,0.858112,40.1529,44.4064,46.8201
100,0.5,0,39.21,0.81194,40.7586,43.8056,45.6644
100,0.5,1,40.92,0.793544,41.4354,43.9242,46.3961
100,0.5,2,39.75,0.725043,40.1626,43.3881,45.453
100,0.5,3,39.37,0.812546,40.165,43.1842,45.5661
100,0.5,4,39.32,0.735606,38.8745,42.7321,45.1582
100,0.5,5,41.17,0.748747,41.6582,44.5695,47.3185
100,0.5,6,40.17,0.727328,40.2964,43.135,45.3129
100,0.5,7,39.32,0.768462,39.9145,42.9736,45.5231
100,0.5,8,40.03,0.811373,41.2578,43.8543,45.9052
100,0.5,9,41.03,0.77968,41.7794,44.471,47.0356
100,0.5,10,41.29,0.708782,42.023,45.2423,47.0987
100,0.5,11,39.35,0.764645,39.5355,42.6885,45.4395
100,0.5,12,39.95,0.782076,39.9918,43.8271,45.2606
100,0.5,13,39.93,0.757775,39.833,43.468,46.0523
100,0.5,14,38.74,0.806791,40.2677,42.3654,44.5436
100,0.5,15,39,0.732414,39.1629,42.6924,44.66
100,0.5,16,39.64,0.75391,39.9692,43.2592,45.4061
100,0.5,17,38.51,0.733919,38.2237,42.2072,44.5918
100,0.5,18,37.95,0.754485,38.6274,41.7548,43.7459
100,0.5,19,39.08,0.703791,39.2749,42.6335,44.6023
100,0.5,20,39.99,0.754213,40.6404,42.8209,45.9652
100,0.5,21,37.85,0.720755,38.4546,41.0952,43.2576
100,0.5,22,39.63,0.794408,39.6074,43.0402,45.0414
100,0.5,23,39.71,0.755066,39.8085,42.9791,44.7854
